location_scope,location_name,time_breakdown,breakdown,attribute,value,date
pagasa_station,"ALABAT, QUEZON",April,month,rainfall_mm,191.4,12-31-1977
pagasa_station,"ALABAT, QUEZON",April,month,sea_lvl_pressure_mbs_high,1019.4,12-27-1966
pagasa_station,"ALABAT, QUEZON",April,month,sea_lvl_pressure_mbs_low,1003.2,12-07-1960
pagasa_station,"ALABAT, QUEZON",April,month,strongest_winds,12 at NE,04-28-1975
pagasa_station,"ALABAT, QUEZON",April,month,temp_high,36.4,
pagasa_station,"ALABAT, QUEZON",April,month,temp_low,18.9,12-14-1963
pagasa_station,"ALABAT, QUEZON",August,month,rainfall_mm,254.2,12-31-1977
pagasa_station,"ALABAT, QUEZON",August,month,sea_lvl_pressure_mbs_high,1016.0,12-27-1966
pagasa_station,"ALABAT, QUEZON",August,month,sea_lvl_pressure_mbs_low,996.2,12-07-1960
pagasa_station,"ALABAT, QUEZON",August,month,strongest_winds,22 at N,08-12-1987
pagasa_station,"ALABAT, QUEZON",August,month,temp_high,37.2,
pagasa_station,"ALABAT, QUEZON",August,month,temp_low,20.0,12-14-1963
pagasa_station,"ALABAT, QUEZON",December,month,rainfall_mm,673.0,12-31-1977
pagasa_station,"ALABAT, QUEZON",December,month,sea_lvl_pressure_mbs_high,1020.5,12-27-1966
pagasa_station,"ALABAT, QUEZON",December,month,sea_lvl_pressure_mbs_low,990.8,12-07-1960
pagasa_station,"ALABAT, QUEZON",December,month,strongest_winds,22 at NE,12-27-1966
pagasa_station,"ALABAT, QUEZON",December,month,temp_high,34.0,
pagasa_station,"ALABAT, QUEZON",December,month,temp_low,18.0,12-14-1963
pagasa_station,"ALABAT, QUEZON",February,month,rainfall_mm,180.0,12-31-1977
pagasa_station,"ALABAT, QUEZON",February,month,sea_lvl_pressure_mbs_high,1021.9,12-27-1966
pagasa_station,"ALABAT, QUEZON",February,month,sea_lvl_pressure_mbs_low,999.7,12-07-1960
pagasa_station,"ALABAT, QUEZON",February,month,strongest_winds,18 at NE,02-02-1977
pagasa_station,"ALABAT, QUEZON",February,month,temp_high,33.4,
pagasa_station,"ALABAT, QUEZON",February,month,temp_low,17.0,12-14-1963
pagasa_station,"ALABAT, QUEZON",January,month,rainfall_mm,160.0,12-31-1977
pagasa_station,"ALABAT, QUEZON",January,month,sea_lvl_pressure_mbs_high,1021.5,12-27-1966
pagasa_station,"ALABAT, QUEZON",January,month,sea_lvl_pressure_mbs_low,1000.5,12-07-1960
pagasa_station,"ALABAT, QUEZON",January,month,strongest_winds,17 at NE,01-16-2001
pagasa_station,"ALABAT, QUEZON",January,month,temp_high,34.4,
pagasa_station,"ALABAT, QUEZON",January,month,temp_low,17.1,12-14-1963
pagasa_station,"ALABAT, QUEZON",March,month,rainfall_mm,185.0,12-31-1977
pagasa_station,"ALABAT, QUEZON",March,month,sea_lvl_pressure_mbs_high,1021.6,12-27-1966
pagasa_station,"ALABAT, QUEZON",March,month,sea_lvl_pressure_mbs_low,1001.7,12-07-1960
pagasa_station,"ALABAT, QUEZON",March,month,strongest_winds,15 at N,03-04-1977
pagasa_station,"ALABAT, QUEZON",March,month,temp_high,35.6,
pagasa_station,"ALABAT, QUEZON",March,month,temp_low,17.8,12-14-1963
pagasa_station,"ALABAT, QUEZON",May,month,rainfall_mm,255.6,12-31-1977
pagasa_station,"ALABAT, QUEZON",May,month,sea_lvl_pressure_mbs_high,1017.5,12-27-1966
pagasa_station,"ALABAT, QUEZON",May,month,sea_lvl_pressure_mbs_low,992.2,12-07-1960
pagasa_station,"ALABAT, QUEZON",May,month,strongest_winds,32 at NNE,05-26-1971
pagasa_station,"ALABAT, QUEZON",May,month,temp_high,37.8,
pagasa_station,"ALABAT, QUEZON",May,month,temp_low,20.0,12-14-1963
pagasa_station,"ALABAT, QUEZON",November,month,rainfall_mm,335.9,12-31-1977
pagasa_station,"ALABAT, QUEZON",November,month,sea_lvl_pressure_mbs_high,1019.9,12-27-1966
pagasa_station,"ALABAT, QUEZON",November,month,sea_lvl_pressure_mbs_low,965.6,12-07-1960
pagasa_station,"ALABAT, QUEZON",November,month,strongest_winds,69 at SW,11-19-1970
pagasa_station,"ALABAT, QUEZON",November,month,temp_high,35.0,
pagasa_station,"ALABAT, QUEZON",November,month,temp_low,18.0,12-14-1963
pagasa_station,"ALABAT, QUEZON",October,month,rainfall_mm,315.6,12-31-1977
pagasa_station,"ALABAT, QUEZON",October,month,sea_lvl_pressure_mbs_high,1018.6,12-27-1966
pagasa_station,"ALABAT, QUEZON",October,month,sea_lvl_pressure_mbs_low,971.6,12-07-1960
pagasa_station,"ALABAT, QUEZON",October,month,strongest_winds,80 at E,10-10-1989
pagasa_station,"ALABAT, QUEZON",October,month,temp_high,35.1,
pagasa_station,"ALABAT, QUEZON",October,month,temp_low,19.8,12-14-1963
pagasa_station,"AMBULONG, BATANGAS",April,month,rainfall_mm,57.0,01-09-1985
pagasa_station,"AMBULONG, BATANGAS",April,month,sea_lvl_pressure_mbs_high,1019.4,07-15-1983
pagasa_station,"AMBULONG, BATANGAS",April,month,sea_lvl_pressure_mbs_low,1001.5,12-27-2001
pagasa_station,"AMBULONG, BATANGAS",April,month,strongest_winds,18 at SE,04-25-1989
pagasa_station,"AMBULONG, BATANGAS",April,month,temp_high,38.3,
pagasa_station,"AMBULONG, BATANGAS",April,month,temp_low,17.5,05-15-1921
pagasa_station,"AMBULONG, BATANGAS",August,month,rainfall_mm,283.6,01-09-1985
pagasa_station,"AMBULONG, BATANGAS",August,month,sea_lvl_pressure_mbs_high,1015.3,07-15-1983
pagasa_station,"AMBULONG, BATANGAS",August,month,sea_lvl_pressure_mbs_low,995.2,12-27-2001
pagasa_station,"AMBULONG, BATANGAS",August,month,strongest_winds,40 at NNE,08-12-1987
pagasa_station,"AMBULONG, BATANGAS",August,month,temp_high,36.7,
pagasa_station,"AMBULONG, BATANGAS",August,month,temp_low,19.0,05-15-1921
pagasa_station,"AMBULONG, BATANGAS",December,month,rainfall_mm,151.9,01-09-1985
pagasa_station,"AMBULONG, BATANGAS",December,month,sea_lvl_pressure_mbs_high,1024.2,07-15-1983
pagasa_station,"AMBULONG, BATANGAS",December,month,sea_lvl_pressure_mbs_low,996.2,12-27-2001
pagasa_station,"AMBULONG, BATANGAS",December,month,strongest_winds,54 at NE,12-30-1950
