location_scope,location_name,time_breakdown,breakdown,attribute,value
national,PH,January,month,min_temp_C,22.2
national,PH,January,month,ave_temp_C,25.9
national,PH,January,month,max_temp_C,29.6
national,PH,January,month,type_1_min,3.5
national,PH,January,month,type_1_max,22.7
national,PH,January,month,type_2_min,130.1
national,PH,January,month,type_2_max,776.3
national,PH,January,month,type_3_min,7.4
national,PH,January,month,type_3_max,169.3
national,PH,January,month,type_4_min,79.4
national,PH,January,month,type_4_max,365.1
national,PH,January,month,typhoon_count_min,0
national,PH,January,month,typhoon_count_max,1
national,PH,February,month,min_temp_C,22.3
national,PH,February,month,ave_temp_C,26.3
national,PH,February,month,max_temp_C,30.2
national,PH,February,month,type_1_min,2.8
national,PH,February,month,type_1_max,23.4
national,PH,February,month,type_2_min,84.6
national,PH,February,month,type_2_max,547.6
national,PH,February,month,type_3_min,3.1
national,PH,February,month,type_3_max,101.8
national,PH,February,month,type_4_min,59.5
national,PH,February,month,type_4_max,253
national,PH,February,month,typhoon_count_min,0
national,PH,February,month,typhoon_count_max,1
national,PH,March,month,min_temp_C,23
national,PH,March,month,ave_temp_C,27.2
national,PH,March,month,max_temp_C,31.4
national,PH,March,month,type_1_min,4
national,PH,March,month,type_1_max,46
national,PH,March,month,type_2_min,49.4
national,PH,March,month,type_2_max,448.3
national,PH,March,month,type_3_min,19.8
national,PH,March,month,type_3_max,119.9
national,PH,March,month,type_4_min,51.4
national,PH,March,month,type_4_max,203
national,PH,March,month,typhoon_count_min,0
national,PH,March,month,typhoon_count_max,1
national,PH,April,month,min_temp_C,24.1
national,PH,April,month,ave_temp_C,28.4
national,PH,April,month,max_temp_C,32.7
national,PH,April,month,type_1_min,16
national,PH,April,month,type_1_max,104.1
national,PH,April,month,type_2_min,47.6
national,PH,April,month,type_2_max,318.7
national,PH,April,month,type_3_min,40.2
national,PH,April,month,type_3_max,146.7
national,PH,April,month,type_4_min,58.3
national,PH,April,month,type_4_max,215.4
national,PH,April,month,typhoon_count_min,0
national,PH,April,month,typhoon_count_max,1
national,PH,May,month,min_temp_C,24.6
national,PH,May,month,ave_temp_C,28.8
national,PH,May,month,max_temp_C,33
national,PH,May,month,type_1_min,70.4
national,PH,May,month,type_1_max,341.1
national,PH,May,month,type_2_min,115.5
national,PH,May,month,type_2_max,252.9
national,PH,May,month,type_3_min,81.8
national,PH,May,month,type_3_max,268.5
national,PH,May,month,type_4_min,75
national,PH,May,month,type_4_max,329.1
national,PH,May,month,typhoon_count_min,1
national,PH,May,month,typhoon_count_max,2
national,PH,June,month,min_temp_C,24.5
national,PH,June,month,ave_temp_C,28.4
national,PH,June,month,max_temp_C,32.4
